2026-06-09 10:28:29,459 | INFO | Noble Architecture icon loader imported successfully
2026-06-09 10:28:29,590 | INFO | CadBackgroundRemoverApp initialised
2026-06-09 10:29:00,070 | INFO | Noble Architecture icon loader imported successfully
2026-06-09 10:29:00,134 | INFO | CadBackgroundRemoverApp initialised
2026-06-09 10:31:32,302 | INFO | Noble Architecture icon loader imported successfully
2026-06-09 10:31:32,367 | INFO | CadBackgroundRemoverApp initialised
2026-06-09 10:31:35,352 | INFO | Batch started: 1 file(s) | white=238 black=135
2026-06-09 10:31:35,408 | INFO | Saved: C:\Users\adamw\Downloads\Test__BackroundRemvoed.png
2026-06-09 10:31:36,957 | INFO | Batch complete: 1 ok, 0 failed
2026-06-09 10:31:49,842 | INFO | Thresholds reset to defaults
2026-06-09 10:31:50,051 | INFO | Thresholds reset to defaults
2026-06-09 10:31:50,210 | INFO | Thresholds reset to defaults
2026-06-09 10:32:09,210 | INFO | Noble Architecture icon loader imported successfully
2026-06-09 10:32:09,275 | INFO | CadBackgroundRemoverApp initialised
